2014-04-16 20:35:58 status half-installed libcap2:amd64 1:2.24-0ubuntu2
2014-04-16 20:35:58 status unpacked libcap2:amd64 1:2.24-0ubuntu2
2014-04-16 20:35:58 status unpacked libcap2:amd64 1:2.24-0ubuntu2
2014-04-16 20:35:58 install libcgmanager0:amd64 <none> 0.24-0ubuntu5
2014-04-16 20:35:58 status half-installed libcgmanager0:amd64 0.24-0ubuntu5
2014-04-16 20:35:58 status unpacked libcgmanager0:amd64 0.24-0ubuntu5
2014-04-16 20:35:58 status unpacked libcgmanager0:amd64 0.24-0ubuntu5
2014-04-16 20:35:58 install libcomerr2:amd64 <none> 1.42.9-3ubuntu1
2014-04-16 20:35:58 status half-installed libcomerr2:amd64 1.42.9-3ubuntu1
2014-04-16 20:35:58 status unpacked libcomerr2:amd64 1.42.9-3ubuntu1
2014-04-16 20:35:58 status unpacked libcomerr2:amd64 1.42.9-3ubuntu1
2014-04-16 20:35:58 install libdb5.3:amd64 <none> 5.3.28-3ubuntu3
2014-04-16 20:35:58 status half-installed libdb5.3:amd64 5.3.28-3ubuntu3
2014-04-16 20:35:58 status unpacked libdb5.3:amd64 5.3.28-3ubuntu3
2014-04-16 20:35:58 status unpacked libdb5.3:amd64 5.3.28-3ubuntu3
2014-04-16 20:35:58 install libdbus-1-3:amd64 <none> 1.6.18-0ubuntu4
2014-04-16 20:35:58 status half-installed libdbus-1-3:amd64 1.6.18-0ubuntu4
2014-04-16 20:35:58 status unpacked libdbus-1-3:amd64 1.6.18-0ubuntu4
2014-04-16 20:35:58 status unpacked libdbus-1-3:amd64 1.6.18-0ubuntu4
2014-04-16 20:35:58 install libdebconfclient0:amd64 <none> 0.187ubuntu1
2014-04-16 20:35:58 status half-installed libdebconfclient0:amd64 0.187ubuntu1
2014-04-16 20:35:58 status unpacked libdebconfclient0:amd64 0.187ubuntu1
2014-04-16 20:35:58 status unpacked libdebconfclient0:amd64 0.187ubuntu1
2014-04-16 20:35:58 install libdrm2:amd64 <none> 2.4.52-1
2014-04-16 20:35:58 status half-installed libdrm2:amd64 2.4.52-1
2014-04-16 20:35:58 status unpacked libdrm2:amd64 2.4.52-1
2014-04-16 20:35:58 status unpacked libdrm2:amd64 2.4.52-1
2014-04-16 20:35:58 install libgcc1:amd64 <none> 1:4.9-20140406-0ubuntu1
2014-04-16 20:35:58 status half-installed libgcc1:amd64 1:4.9-20140406-0ubuntu1
2014-04-16 20:35:58 status unpacked libgcc1:amd64 1:4.9-20140406-0ubuntu1
2014-04-16 20:35:58 status unpacked libgcc1:amd64 1:4.9-20140406-0ubuntu1
2014-04-16 20:35:58 install libjson-c2:amd64 <none> 0.11-3ubuntu1
2014-04-16 20:35:58 status half-installed libjson-c2:amd64 0.11-3ubuntu1
2014-04-16 20:35:58 status unpacked libjson-c2:amd64 0.11-3ubuntu1
2014-04-16 20:35:58 status unpacked libjson-c2:amd64 0.11-3ubuntu1
2014-04-16 20:35:58 install libjson0:amd64 <none> 0.11-3ubuntu1
2014-04-16 20:35:58 status half-installed libjson0:amd64 0.11-3ubuntu1
2014-04-16 20:35:58 status unpacked libjson0:amd64 0.11-3ubuntu1
2014-04-16 20:35:58 status unpacked libjson0:amd64 0.11-3ubuntu1
2014-04-16 20:35:58 install libklibc:amd64 <none> 2.0.3-0ubuntu1
2014-04-16 20:35:58 status half-installed libklibc:amd64 2.0.3-0ubuntu1
2014-04-16 20:35:58 status unpacked libklibc:amd64 2.0.3-0ubuntu1
2014-04-16 20:35:58 status unpacked libklibc:amd64 2.0.3-0ubuntu1
2014-04-16 20:35:58 install libkmod2:amd64 <none> 15-0ubuntu6
2014-04-16 20:35:58 status half-installed libkmod2:amd64 15-0ubuntu6
2014-04-16 20:35:58 status unpacked libkmod2:amd64 15-0ubuntu6
2014-04-16 20:35:58 status unpacked libkmod2:amd64 15-0ubuntu6
2014-04-16 20:35:58 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2014-04-16 20:35:58 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2014-04-16 20:35:58 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2014-04-16 20:35:58 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2014-04-16 20:35:58 install libmount1:amd64 <none> 2.20.1-5.1ubuntu20
2014-04-16 20:35:58 status half-installed libmount1:amd64 2.20.1-5.1ubuntu20
2014-04-16 20:35:58 status unpacked libmount1:amd64 2.20.1-5.1ubuntu20
2014-04-16 20:35:58 status unpacked libmount1:amd64 2.20.1-5.1ubuntu20
2014-04-16 20:35:58 install libncurses5:amd64 <none> 5.9+20140118-1ubuntu1
2014-04-16 20:35:58 status half-installed libncurses5:amd64 5.9+20140118-1ubuntu1
2014-04-16 20:35:58 status unpacked libncurses5:amd64 5.9+20140118-1ubuntu1
2014-04-16 20:35:58 status unpacked libncurses5:amd64 5.9+20140118-1ubuntu1
2014-04-16 20:35:58 install libncursesw5:amd64 <none> 5.9+20140118-1ubuntu1
2014-04-16 20:35:58 status half-installed libncursesw5:amd64 5.9+20140118-1ubuntu1
2014-04-16 20:35:58 status unpacked libncursesw5:amd64 5.9+20140118-1ubuntu1
2014-04-16 20:35:58 status unpacked libncursesw5:amd64 5.9+20140118-1ubuntu1
2014-04-16 20:35:58 install libnih-dbus1:amd64 <none> 1.0.3-4ubuntu25
2014-04-16 20:35:58 status half-installed libnih-dbus1:amd64 1.0.3-4ubuntu25
2014-04-16 20:35:58 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu25
2014-04-16 20:35:58 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu25
2014-04-16 20:35:58 install libnih1:amd64 <none> 1.0.3-4ubuntu25
2014-04-16 20:35:58 status half-installed libnih1:amd64 1.0.3-4ubuntu25
2014-04-16 20:35:58 status unpacked libnih1:amd64 1.0.3-4ubuntu25
2014-04-16 20:35:58 status unpacked libnih1:amd64 1.0.3-4ubuntu25
2014-04-16 20:35:58 install libpam-modules:amd64 <none> 1.1.8-1ubuntu2
2014-04-16 20:35:58 status half-installed libpam-modules:amd64 1.1.8-1ubuntu2
2014-04-16 20:35:58 status unpacked libpam-modules:amd64 1.1.8-1ubuntu2
2014-04-16 20:35:58 status unpacked libpam-modules:amd64 1.1.8-1ubuntu2
2014-04-16 20:35:58 install libpam-modules-bin:amd64 <none> 1.1.8-1ubuntu2
2014-04-16 20:35:58 status half-installed libpam-modules-bin:amd64 1.1.8-1ubuntu2
2014-04-16 20:35:58 status unpacked libpam-modules-bin:amd64 1.1.8-1ubuntu2
2014-04-16 20:35:58 status unpacked libpam-modules-bin:amd64 1.1.8-1ubuntu2
2014-04-16 20:35:58 install libpam-runtime:all <none> 1.1.8-1ubuntu2
2014-04-16 20:35:58 status half-installed libpam-runtime:all 1.1.8-1ubuntu2
2014-04-16 20:35:58 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2014-04-16 20:35:58 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2014-04-16 20:35:58 install libpam0g:amd64 <none> 1.1.8-1ubuntu2
2014-04-16 20:35:58 status half-installed libpam0g:amd64 1.1.8-1ubuntu2
2014-04-16 20:35:58 status unpacked libpam0g:amd64 1.1.8-1ubuntu2
2014-04-16 20:35:58 status unpacked libpam0g:amd64 1.1.8-1ubuntu2
2014-04-16 20:35:58 install libpcre3:amd64 <none> 1:8.31-2ubuntu2
2014-04-16 20:35:58 status half-installed libpcre3:amd64 1:8.31-2ubuntu2
2014-04-16 20:35:58 status unpacked libpcre3:amd64 1:8.31-2ubuntu2
2014-04-16 20:35:58 status unpacked libpcre3:amd64 1:8.31-2ubuntu2
2014-04-16 20:35:58 install libplymouth2:amd64 <none> 0.8.8-0ubuntu17
2014-04-16 20:35:58 status half-installed libplymouth2:amd64 0.8.8-0ubuntu17
2014-04-16 20:35:58 status unpacked libplymouth2:amd64 0.8.8-0ubuntu17
2014-04-16 20:35:58 status unpacked libplymouth2:amd64 0.8.8-0ubuntu17
2014-04-16 20:35:58 install libpng12-0:amd64 <none> 1.2.50-1ubuntu2
2014-04-16 20:35:58 status half-installed libpng12-0:amd64 1.2.50-1ubuntu2
2014-04-16 20:35:58 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2014-04-16 20:35:58 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2014-04-16 20:35:58 install libprocps3:amd64 <none> 1:3.3.9-1ubuntu2
2014-04-16 20:35:58 status half-installed libprocps3:amd64 1:3.3.9-1ubuntu2
2014-04-16 20:35:58 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2014-04-16 20:35:58 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2014-04-16 20:35:58 install libselinux1:amd64 <none> 2.2.2-1
2014-04-16 20:35:58 status half-installed libselinux1:amd64 2.2.2-1
2014-04-16 20:35:58 status unpacked libselinux1:amd64 2.2.2-1
2014-04-16 20:35:58 status unpacked libselinux1:amd64 2.2.2-1
2014-04-16 20:35:58 install libsemanage-common:all <none> 2.2-1
2014-04-16 20:35:58 status half-installed libsemanage-common:all 2.2-1
2014-04-16 20:35:58 status unpacked libsemanage-common:all 2.2-1
2014-04-16 20:35:58 status unpacked libsemanage-common:all 2.2-1
2014-04-16 20:35:58 install libsemanage1:amd64 <none> 2.2-1
2014-04-16 20:35:58 status half-installed libsemanage1:amd64 2.2-1
2014-04-16 20:35:58 status unpacked libsemanage1:amd64 2.2-1
2014-04-16 20:35:58 status unpacked libsemanage1:amd64 2.2-1
2014-04-16 20:35:58 install libsepol1:amd64 <none> 2.2-1
2014-04-16 20:35:58 status half-installed libsepol1:amd64 2.2-1
2014-04-16 20:35:58 status unpacked libsepol1:amd64 2.2-1
2014-04-16 20:35:58 status unpacked libsepol1:amd64 2.2-1
2014-04-16 20:35:58 install libslang2:amd64 <none> 2.2.4-15ubuntu1
2014-04-16 20:35:58 status half-installed libslang2:amd64 2.2.4-15ubuntu1
2014-04-16 20:35:58 status unpacked libslang2:amd64 2.2.4-15ubuntu1
2014-04-16 20:35:58 status unpacked libslang2:amd64 2.2.4-15ubuntu1
2014-04-16 20:35:58 install libss2:amd64 <none> 1.42.9-3ubuntu1
